frame_index,video_time_seconds,inference_ms,raw_detection_count,duplicate_boxes_removed,before_counted,after_counted,before_ignored,after_ignored,before_max_density,after_max_density,boundary_status_overrides
11190,373.0,808.321,2,0,2,2,0,0,1.0,1.0,0
11220,374.0,676.018,3,0,3,3,0,0,1.1765,1.1765,0
11250,375.0,767.235,3,0,3,3,0,0,1.0,1.0,0
11280,376.0,569.095,3,0,3,3,0,0,1.0,1.0,0
11310,377.0,566.073,3,0,3,3,0,0,1.0,1.0,0
11340,378.0,695.039,3,0,3,3,0,0,1.0,1.0,0
11370,379.0,652.425,3,0,3,3,0,0,1.0,1.0,0
11400,380.0,666.639,3,0,3,3,0,0,1.0,1.0,0
11430,381.0,557.702,3,0,3,3,0,0,1.1765,1.1765,0
11460,382.0,610.074,3,0,3,3,0,0,1.1765,1.1765,0
11490,383.0,699.554,3,0,3,3,0,0,1.1765,1.1765,0
11520,384.0,855.231,3,0,3,3,0,0,1.1765,1.1765,0
11550,385.0,793.26,3,0,3,3,0,0,1.1765,1.1765,0
11580,386.0,767.108,3,0,3,3,0,0,1.1765,1.1765,0
11610,387.0,758.114,3,0,3,3,0,0,1.1765,1.1765,0
11640,388.0,681.599,3,0,3,3,0,0,1.1765,1.1765,0
11670,389.0,645.28,3,0,3,3,0,0,1.1765,1.1765,0
11700,390.0,505.812,3,0,3,3,0,0,1.1765,1.1765,0
11730,391.0,484.841,3,0,3,3,0,0,1.1765,1.1765,0
11760,392.0,472.35,3,0,3,3,0,0,1.1765,1.1765,0
11790,393.0,476.695,3,0,3,3,0,0,1.1765,1.1765,0
11820,394.0,475.478,3,0,3,3,0,0,1.1765,1.1765,0
11850,395.0,480.312,3,0,3,3,0,0,1.1765,1.1765,0
11880,396.0,482.194,3,0,3,3,0,0,1.1765,1.1765,0
11910,397.0,473.422,3,0,3,3,0,0,1.1765,1.1765,0
11940,398.0,480.041,3,0,3,3,0,0,1.1765,1.1765,0
11970,399.0,470.651,3,0,3,3,0,0,1.1765,1.1765,0
12000,400.0,461.854,3,0,3,3,0,0,1.1765,1.1765,0
12030,401.0,465.925,3,0,3,3,0,0,1.1765,1.1765,0
12060,402.0,477.69,3,0,3,3,0,0,1.1765,1.1765,0
12090,403.0,474.465,3,0,3,3,0,0,1.1765,1.1765,0
12120,404.0,475.411,3,0,3,3,0,0,1.1765,1.1765,0
12150,405.0,465.05,3,0,3,3,0,0,1.1765,1.1765,0
12180,406.0,469.603,3,0,3,3,0,0,1.1765,1.1765,0
